State,Year,Group Name,Cases Registered under Human Rights Violations,Policemen Chargesheeted,Policemen Convicted
Montana,2001,Disappearance of Persons,125,7,21
Maryland,2001,Disappearance of Persons,142,38,23
Delaware,2001,Disappearance of Persons,228,36,10
Florida,2001,Disappearance of Persons,161,13,6
Colorado,2001,Disappearance of Persons,232,53,12
South Dakota,2001,Disappearance of Persons,149,23,38
Minnesota,2001,Disappearance of Persons,119,63,1
Georgia,2001,Disappearance of Persons,163,57,12
Kansas,2001,Disappearance of Persons,230,17,33
Indiana,2001,Disappearance of Persons,152,51,24
South Carolina,2001,Disappearance of Persons,162,67,28
Michigan,2001,Disappearance of Persons,21,68,26
Alaska,2001,Disappearance of Persons,215,52,27
Arkansas,2001,Disappearance of Persons,194,56,24
West Virginia,2001,Disappearance of Persons,165,16,30
North Dakota,2001,Disappearance of Persons,158,10,15
Louisiana,2001,Disappearance of Persons,162,65,29
District of Columbia,2001,Disappearance of Persons,136,4,4
New Mexico,2001,Disappearance of Persons,152,4,13
Montana,2002,Disappearance of Persons,146,13,39
Delaware,2002,Disappearance of Persons,209,33,39
Florida,2002,Disappearance of Persons,61,27,23
Colorado,2002,Disappearance of Persons,120,34,14
South Dakota,2002,Disappearance of Persons,5,39,35
Hawaii,2002,Disappearance of Persons,161,28,10
Minnesota,2002,Disappearance of Persons,236,41,1
Georgia,2002,Disappearance of Persons,3,54,32
Kansas,2002,Disappearance of Persons,186,10,1
Indiana,2002,Disappearance of Persons,116,42,25
Michigan,2002,Disappearance of Persons,160,64,40
Alaska,2002,Disappearance of Persons,111,7,38
Arkansas,2002,Disappearance of Persons,189,22,38
West Virginia,2002,Disappearance of Persons,152,9,26
North Dakota,2002,Disappearance of Persons,215,45,7
Louisiana,2002,Disappearance of Persons,47,48,18
Oregon,2002,Disappearance of Persons,50,7,20
Vermont,2002,Disappearance of Persons,101,9,31
Wisconsin,2002,Disappearance of Persons,57,35,38
New Mexico,2002,Disappearance of Persons,96,32,40
Montana,2003,Disappearance of Persons,210,53,7
Maryland,2003,Disappearance of Persons,29,41,9
Delaware,2003,Disappearance of Persons,20,70,12
Florida,2003,Disappearance of Persons,242,39,30
Colorado,2003,Disappearance of Persons,18,46,38
South Dakota,2003,Disappearance of Persons,40,65,30
Hawaii,2003,Disappearance of Persons,12,62,8
Minnesota,2003,Disappearance of Persons,88,26,29
Georgia,2003,Disappearance of Persons,59,22,24
Kansas,2003,Disappearance of Persons,187,47,35
Indiana,2003,Disappearance of Persons,159,3,9
Michigan,2003,Disappearance of Persons,74,60,37
Arkansas,2003,Disappearance of Persons,130,62,23
West Virginia,2003,Disappearance of Persons,4,39,12
North Dakota,2003,Disappearance of Persons,177,21,5
Louisiana,2003,Disappearance of Persons,179,1,24
Oregon,2003,Disappearance of Persons,178,33,12
New Mexico,2003,Disappearance of Persons,190,49,26
Montana,2004,Disappearance of Persons,122,35,22
Maryland,2004,Disappearance of Persons,219,7,8
Florida,2004,Disappearance of Persons,102,14,1
South Dakota,2004,Disappearance of Persons,175,59,37
Minnesota,2004,Disappearance of Persons,37,2,14
Kansas,2004,Disappearance of Persons,211,20,30
Indiana,2004,Disappearance of Persons,53,40,17
Michigan,2004,Disappearance of Persons,92,69,4
Alaska,2004,Disappearance of Persons,24,6,26
Arkansas,2004,Disappearance of Persons,238,68,37
Ohio,2004,Disappearance of Persons,210,39,0
West Virginia,2004,Disappearance of Persons,26,51,29
Utah,2004,Disappearance of Persons,185,2,23
North Dakota,2004,Disappearance of Persons,166,69,8
Louisiana,2004,Disappearance of Persons,15,36,39
Oregon,2004,Disappearance of Persons,47,68,1
Wisconsin,2004,Disappearance of Persons,19,4,0
District of Columbia,2004,Disappearance of Persons,230,0,40
New Mexico,2004,Disappearance of Persons,113,22,17
Montana,2005,Disappearance of Persons,97,44,13
Maryland,2005,Disappearance of Persons,39,35,32
Delaware,2005,Disappearance of Persons,177,39,9
Colorado,2005,Disappearance of Persons,154,9,9
South Dakota,2005,Disappearance of Persons,169,15,14
Minnesota,2005,Disappearance of Persons,117,7,36
Georgia,2005,Disappearance of Persons,153,23,0
Kansas,2005,Disappearance of Persons,212,28,25
Indiana,2005,Disappearance of Persons,143,22,18
South Carolina,2005,Disappearance of Persons,198,19,22
Michigan,2005,Disappearance of Persons,238,32,15
Alaska,2005,Disappearance of Persons,52,30,15
Arkansas,2005,Disappearance of Persons,243,34,23
Ohio,2005,Disappearance of Persons,62,36,21
West Virginia,2005,Disappearance of Persons,27,56,16
Utah,2005,Disappearance of Persons,127,28,10
North Dakota,2005,Disappearance of Persons,34,20,8
Louisiana,2005,Disappearance of Persons,5,57,33
Oregon,2005,Disappearance of Persons,238,3,7
District of Columbia,2005,Disappearance of Persons,11,0,21
New Mexico,2005,Disappearance of Persons,248,51,26
Montana,2006,Disappearance of Persons,132,26,23
Maryland,2006,Disappearance of Persons,168,50,32
Delaware,2006,Disappearance of Persons,236,54,3
Colorado,2006,Disappearance of Persons,137,10,8
South Dakota,2006,Disappearance of Persons,30,20,28
Minnesota,2006,Disappearance of Persons,150,48,4
Kansas,2006,Disappearance of Persons,165,67,35
Indiana,2006,Disappearance of Persons,31,25,5
South Carolina,2006,Disappearance of Persons,68,53,8
Michigan,2006,Disappearance of Persons,203,40,19
