State,Year,Group_Name,Sub_Group_Name,Property Recovered,Property Stolen,Value of Property Recovered,Value of Property Stolen
Nevada,2001,Burglary - Property,Burglary,28,54,"9,07,029.60","14,54,157.10"
Montana,2001,Burglary - Property,Burglary,3387,6064,"6,17,80,124.40","16,17,21,282.80"
Maryland,2001,Burglary - Property,Burglary,67,211,"9,90,138.00","54,25,094.40"
Delaware,2001,Burglary - Property,Burglary,550,2060,"44,67,420.00","2,36,13,650.50"
Florida,2001,Burglary - Property,Burglary,374,2746,"27,92,562.00","1,87,26,330.70"
Colorado,2001,Burglary - Property,Burglary,121,309,"21,65,787.60","1,12,39,115.80"
South Dakota,2001,Burglary - Property,Burglary,1192,3522,"78,21,913.20","3,35,02,736.30"
California,2001,Burglary - Property,Burglary,10,29,"2,96,568.00","14,66,727.90"
Hawaii,2001,Burglary - Property,Burglary,7,37,"5,75,160.00","22,93,329.50"
New York,2001,Burglary - Property,Burglary,655,2575,"4,75,58,612.40","16,50,37,206.40"
Idaho,2001,Burglary - Property,Burglary,66,295,"10,75,050.00","1,09,90,731.40"
Minnesota,2001,Burglary - Property,Burglary,1146,4189,"2,49,85,542.00","15,58,15,173.80"
Georgia,2001,Burglary - Property,Burglary,1282,2633,"3,28,43,976.00","7,10,34,197.30"
Kansas,2001,Burglary - Property,Burglary,95,690,"35,24,257.20","1,88,01,739.00"
Indiana,2001,Burglary - Property,Burglary,164,1143,"34,86,220.80","2,99,44,379.30"
South Carolina,2001,Burglary - Property,Burglary,190,978,"9,08,422.80","1,05,07,500.30"
Michigan,2001,Burglary - Property,Burglary,1803,5435,"5,06,65,449.60","15,33,32,713.60"
Missouri,2001,Burglary - Property,Burglary,831,3557,"2,56,96,855.20","14,47,76,439.50"
Arizona,2001,Burglary - Property,Burglary,420,1287,"3,96,587.00","55,67,389.00"
Alaska,2001,Burglary - Property,Burglary,3597,11517,"3,75,99,516.00","13,04,04,521.50"
Arkansas,2001,Burglary - Property,Burglary,3667,11799,"7,50,23,155.20","48,87,12,121.70"
Ohio,2001,Burglary - Property,Burglary,3,64,"69,973.20","29,24,175.10"
West Virginia,2001,Burglary - Property,Burglary,51,145,"3,89,520.00","14,89,855.40"
Utah,2001,Burglary - Property,Burglary,192,354,"19,15,196.40","35,74,123.30"
North Dakota,2001,Burglary - Property,Burglary,21,71,"16,96,744.80","76,14,346.30"
Louisiana,2001,Burglary - Property,Burglary,1416,2602,"1,01,69,622.00","5,09,97,598.30"
Pennsylvania,2001,Burglary - Property,Burglary,35,94,"6,59,580.00","31,42,725.30"
Oregon,2001,Burglary - Property,Burglary,735,1617,"1,68,67,972.80","8,11,90,400.50"
Vermont,2001,Burglary - Property,Burglary,1965,5837,"4,29,05,889.60","12,91,39,366.40"
Guam,2001,Burglary - Property,Burglary,16,60,"2,61,120.00","9,47,876.60"
Wisconsin,2001,Burglary - Property,Burglary,3292,5031,"6,17,35,651.20","13,73,99,115.70"
Oklahoma,2001,Burglary - Property,Burglary,43,168,"4,29,840.00","34,72,474.50"
District of Columbia,2001,Burglary - Property,Burglary,1103,5910,"65,09,27,820.00","73,13,94,387.90"
Texas,2001,Burglary - Property,Burglary,80,453,"12,07,191.60","1,09,06,999.40"
New Mexico,2001,Burglary - Property,Burglary,102,362,"36,79,257.60","1,40,66,060.80"
